UT Date	Observer	Total Scans	Time Observing	Average Scans per Hour
2021-0106	Jsun	340	9.5	35.7
2021-0107	Jsun	214	9.3	23.1
2021-0109	Jsun	250	7.6	33.0
2021-0112	Blom	67	3.2	20.7
2021-0112	Jsun	136	3.5	39.3
2021-0112	Jsun	79	2.5	31.5
2021-0113	Blom	122	4.4	28.0
2021-0114	Jsun	2	0.5	3.7
2021-0114	Blom	140	7.6	18.4
2021-0115	Blom	100	3.2	31.1
2021-0128	Blom	2	0.1	15.9
2021-0129	Blom	2	0.0	276.9
2021-0202	ERMR	1	0	0
2021-0202	Blom	1	0	0
2021-0203	Blom	2	0.0	50.7
2021-0204	ERMR	4	3.4	1.2
2021-0205	Blom	92	3.8	24.5
2021-0210	XXXX	1	0	0
2021-0210	ERMR	3	1.4	2.2
2021-0211	ERMR	87	6.2	14.0
2021-0212	XXXX	4	2.0	2.0
2021-0212	Blom	4	2.1	1.9
2021-0213	Blom	34	4.8	7.2
2021-0214	Blom	2	0.0	360.0
2021-0304	ERMR	1	0	0
2021-0304	ERMR	5	2.6	1.9
2021-0304	ERMR	2	0.6	3.4
2021-0305	ERMR	26	7.2	3.6
2021-0306	Blom	106	6.9	15.3
2021-0307	Blom	1	0	0
2021-0307	Blom	30	6.1	4.9
2021-0307	Blom	8	0.3	25.4
2021-0308	Blom	4	2.1	1.9
2021-0309	ERMR	2	0.1	26.5
2021-0309	ERMR	2	0.0	600.0
2021-0310	ERMR	24	7.4	3.3
2021-0311	ERMR	4	1.8	2.3
2021-0312	Blom	2	0.1	17.9
2021-0313	Blom	8	6.1	1.3
2021-0315	Blom	6	4.6	1.3
2021-0316	ERMR	4	2.7	1.5
2021-0316	XXXX	2	0.0	240.0
2021-0317	ERMR	4	1.7	2.3
2021-0318	ERMR	1	0	0
2021-0318	ERMR	1	0	0
2021-0319	ERMR	1	0	0
2021-0319	Blom	173	7.4	23.5
2021-0320	Blom	101	6.6	15.2
2021-0321	Blom	46	7.7	6.0
2021-0322	Blom	5	0.8	6.0
2021-0322	Blom	13	2.1	6.3
2021-0323	ERMR	6	4.5	1.3
2021-0324	ERMR	5	1.9	2.6
2021-0325	ERMR	3	2.4	1.2
2021-0326	Blom	2	0.1	33.3
2021-0327	Blom	1	0	0
2021-0327	Blom	4	2.4	1.7
2021-0329	Blom	124	5.7	21.6
2021-0331	ERMR	1	0	0
2021-0401	ERMR	33	5.2	6.4
2021-0402	ERMR	1	0	0
2021-0402	Blom	4	5.0	0.8
2021-0403	Blom	211	6.6	31.8
2021-0404	Blom	202	5.9	34.0
2021-0405	Blom	190	6.9	27.5
2021-0406	ERMR	24	7.6	3.1
2021-0407	ERMR	83	5.7	14.6
2021-0408	ERMR	81	6.1	13.3
2021-0409	ERMR	27	3.0	9.1
2021-0409	Blom	141	4.0	35.1
2021-0410	Blom	127	5.9	21.5
2021-0411	Blom	1	0	0
2021-0411	Blom	106	5.2	20.3
2021-0412	Blom	6	3.6	1.7
2021-0415	ERMR	2	0.0	900.0
2021-0415	ERMR	1	0	0
2021-0416	ERMR	133	5.7	23.3
2021-0417	Blom	90	6.8	13.2
2021-0419	Jsun	264	7.3	36.4
2021-0422	ERMR	105	5.5	19.2
2021-0423	ERMR	8	7.1	1.1
2021-0424	Blom	209	6.9	30.2
2021-0425	Blom	10	6.6	1.5
2021-0427	ERMR	4	1.7	2.4
2021-0429	Blom	14	3.5	4.0
2021-0429	Blom	28	1.3	21.0
2021-0430	Blom	160	6.8	23.6
2021-0501	Blom	172	7.5	23.1
2021-0502	Blom	128	8.2	15.6
2021-0504	ERMR	2	0.4	5.2
2021-0505	ERMR	4	1.7	2.3
2021-0506	ERMR	170	7.6	22.4
2021-0507	ERMR	173	7.1	24.5
2021-0508	Blom	202	7.6	26.4
2021-0509	Blom	239	7.9	30.2
2021-0510	Jsun	204	8.0	25.5
2021-0511	XXXX	1	0	0
2021-0512	ERMR	4	2.5	1.6
2021-0513	ERMR	200	7.1	28.3
2021-0514	ERMR	228	7.8	29.4
2021-0515	Blom	268	7.7	34.8
2021-0516	Blom	248	7.5	32.9
2021-0517	Blom	306	8.3	37.0
2021-0518	ERMR	4	1.6	2.5
2021-0519	ERMR	85	2.9	29.5
2021-0520	ERMR	248	5.9	41.8
2021-0521	ERMR	9	4.7	1.9
2021-0521	XXXX	3	0.1	30.3
2021-0522	Blom	3	0.0	65.9
2021-0522	Blom	8	0.2	32.1
2021-0522	XXXX	99	2.8	34.9
2021-0523	XXXX	15	0.5	33.1
2021-0523	Blom	197	6.6	29.8
2021-0524	Jsun	301	8.5	35.5
2021-0525	ERMR	2	0.2	9.4
2021-0526	ERMR	4	1.9	2.1
2021-0527	ERMR	100	2.6	38.7
2021-0528	ERMR	156	4.3	36.3
2021-0528	Blom	4	0.5	7.5
2021-0529	Blom	268	7.1	37.5
2021-0530	Blom	302	7.7	39.1
2021-0531	Jsun	126	3.4	37.3
2021-0602	Blom	1	0	0
2021-0602	XXXX	3	0.0	81.8
2021-0602	Blom	104	3.3	31.2
2021-0603	ERMR	6	1.7	3.5
2021-0604	Blom	1	0	0
2021-0604	ERMR	32	2.1	15.6
2021-0607	Jsun	240	7.0	34.5
2021-0610	ERMR	3	2.9	1.0
2021-0611	ERMR	203	6.1	33.3
2021-0612	ERMR	225	7.2	31.4
2021-0613	Jsun	130	3.8	33.8
2021-0614	Jsun	254	7.3	34.8
2021-0615	XXXX	16	3.3	4.9
2021-0615	Blom	18	2.8	6.4
2021-0616	Blom	54	5.2	10.5
2021-0618	Blom	4	2.2	1.8
2021-0709	Blom	4	1.9	2.1
2021-0710	ERMR	3	1.6	1.8
2021-0710	Blom	2	1.1	1.8
2021-0713	Blom	3	5.0	0.6
2021-0714	ERMR	2	0.6	3.4
2021-0714	Blom	2	2.2	0.9
2021-0716	Blom	2	0.0	900.0
2021-0716	ERMR	2	1.4	1.4
2021-0716	ERMR	2	0.1	33.3
2021-0717	Blom	4	1.9	2.1
2021-0717	ERMR	4	2.0	2.0
2021-0717	ERMR	2	0.0	720.0
2021-0720	Blom	6	5.2	1.2
2021-0721	ERMR	4	3.7	1.1
2021-0721	Blom	4	1.8	2.2
2021-0722	ERMR	6	3.3	1.8
2021-0723	Blom	4	2.3	1.8
2021-0723	ERMR	2	0.0	1200.0
2021-0724	Blom	2	0.0	94.7
2021-0724	ERMR	2	0.0	600.0
2021-0727	Blom	6	3.9	1.5
2021-0728	ERMR	1	0	0
2021-0728	Blom	4	2.6	1.5
2021-0730	XXXX	2	0.3	7.2
