UT Date	Observer	Total Scans	Time Observing	Average Scans per Hour
2020-1028	Jsun	56	5.0	11.2
2020-1102	Jsun	1	0	0
2020-1103	Jsun	116	5.6	20.7
2020-1104	Jsun	304	9.6	31.6
2020-1105	Jsun	48	1.4	34.7
2020-1105	Jsun	109	5.2	20.8
2020-1110	Jsun	62	2.2	27.6
2020-1210	XXXX	2	0.0	257.1
2020-1216	XXXX	18	1.3	14.3
2020-1217	XXXX	4	0.1	41.4
2020-1217	Jsun	216	8.1	26.8
2020-1221	Jsun	313	8.6	36.2
2020-1222	BLOM	30	1.4	21.8
2020-1222	Jsun	94	3.2	29.4
2020-1223	Blom	24	1.4	17.0
2020-1223	Jsun	153	5.9	26.1
2020-1229	Blom	2	0.0	45.6
2020-1230	BLom	13	6.5	2.0
2020-1230	Jsun	19	2.0	9.4
2020-1231	Blom	4	4.5	0.9
